symbol,name2,sector
maps,maps,technology services
igv,i grandi viaggi,consumer services
prl,pierrel,health technology
icf,industrie chimiche forestali,process industries
agp,altea green power,utilities
cli,centrale del latte d'italia,consumer non-durables
plc,plc,industrial services
exai,expert.ai,technology services
sri,servizi italia,commercial services
dm,digital magics,finance
nsp,neosperience,technology services
dgt,digitouch,commercial services
eck,ecosuntek,utilities
gral,grifal,process industries
npi,notorious pictures,consumer services
cml,comal,electronic technology
s24,il sole 24 ore,consumer services
tb,triboo,technology services
core,allcore,commercial services
bo,,finance
alw,algowatt,technology services
euk,eukedos,health services
gis,gismondi 1754,consumer durables
mft,matica fintec,electronic technology
s3d,solid world group,distribution services
gg,giglio group,consumer services
biro,estrima,consumer durables
eems,eems,electronic technology
mtv,mondo tv,consumer services
nus,nusco,producer manufacturing
cle,class editori,consumer services
fos,fos,technology services
eles,eles,commercial services
cla,clabo,producer manufacturing
web,websolute,commercial services
dba,dba group,industrial services
esi,esi,utilities
eva,askoll eva,consumer durables
ldb,lindbergh,transportation
itw,it way,distribution services
abs,arterra bioscience,health technology
circ,circle,commercial services
nrst,neurosoft,technology services
twl,trawell co,transportation
erfo,laboratorio farmaceutico erfo,health technology
cnf,conafi,finance
csp,csp int ind calze,consumer non-durables
cfv,confinvest,distribution services
cdg,casta diva group,commercial services
bell,bellini nautica,retail trade
dit,destination italia,consumer services
fde,frendy energy,utilities
mon,,consumer services
hqf,high quality food,consumer non-durables
alf,alfonsino,transportation
sos,sostravel.com,technology services
ftc,finanza.tech,finance
sof,softlab,technology services
abtg,alfio bardolla,commercial services
fda,fidia,producer manufacturing
fnx,fenix entertainment,consumer services
ubm,ulisse biomed,health technology
fcm,friulchem,health technology
rdf,redelfi,commercial services
aga,agatos,utilities
go,go internet,communications
gamb,gambero rosso,consumer services
cia,cia,finance
ntw,netweek,consumer services
epr,eprice,retail trade
icc,international care company,health services
jnx,jonix,producer manufacturing
msu,mondo tv suisse,consumer services
prm,prismi,commercial services
ysft,softec,commercial services
amb,,commercial services
u24,ucapital24,technology services
met,met.extra group,finance
iig,italia independent,consumer non-durables
casa,casasold,finance
mtf,mondo tv france,consumer services
geq,gequity,finance
bie,bioera,consumer non-durables
illa,illa,consumer durables
tlsg,the lifestyle group,finance
ve,visibilia editore,consumer services
ki,ki group,distribution services
xbrmib,lyxor ftsemib dai -2x xbr ucits etf acc etf,miscellaneous
jr15,jpm eur crp bd 1-5 res en esg ucits etf etf,miscellaneous
famamw,fineco msci wrd metal n mining ucits etf etf,—
itek,han-gins tech megatrend eql wt ucits etf etf,miscellaneous
sbb,sababa security,technology services
emul,ishares msci emu large cap ucits etf acc etf,miscellaneous
xgdu,xtrackers ie physical gold etc etf,miscellaneous
use3,wisdomtree short usd long eur 3x daily etf,miscellaneous
spx3l,sg etn daily long +3x s&p 500 etf,—
mib3s,sg etc ftse mib -3x daily sht collateral etf,miscellaneous
ggov,amundi jp morgan gbi gl gov ucits etf dr etf,miscellaneous
nga3l,sg etc daily long +3x natural gas future etf,—
hcaa,hsbc msci china a ucits etf usd acc etf,miscellaneous
sac,saccheria f.lli franceschetti,process industries
fammai,fineco msci acwi imi cyber sec ucits etf etf,—
wtai,wisdomtree artif intel ucits etf usd acc etf,miscellaneous
skyy,han-gins cloud tech equal wgt ucits etf etf,miscellaneous
gasl3,sg etc natural gas +3x dai lever collat etf,miscellaneous
btpl5,sg etn daily long 5x btp future etf,—
emuaa,ubs msci emu ucits etf (eur) a-acc etf,miscellaneous
iebb,ishares eu corpor bbb-bb ucits etf dist etf,miscellaneous
bundl5,sg etn daily long +5x bund future etf,—
jpe3,wisdomtree short jpy long eur 3x daily etf,miscellaneous
dax3l,sg etc dax +3x daily lever collateral etf,miscellaneous
sbem,ubs (lux) fund solutions etf,miscellaneous
emueua,ubs msci emu ucits etf a-dis etf,miscellaneous
emqq,emqq em mkts internet&ecommerc ucits etf etf,miscellaneous
oil2l,sg etc wti +2x daily leveraged collat etf,miscellaneous
3bab,leverage shares 3x alibaba etp etf,miscellaneous
etfmib,lyxor ftse mib (dr) - dist ucits etf etf,miscellaneous
drgn,l&g china cny bond ucits etf etf,miscellaneous
famwcs,fineco msci wrd cons stapl esg ucits etf etf,—
bermib,lyxor ftsemib dai -1x bear ucits etf acc etf,miscellaneous
fch,franchetti,industrial services
xcha,xtrackers csi300 swap ucits etf etf,miscellaneous
hdro,vaneck hydrogen economy ucits etf etf,miscellaneous
fammws,fineco msci wrd semiconductors ucits etf etf,—
bre3s,sg etc daily short -3x brent oil future etf,—
gas3l,sg etc natural gas +3x daily lev collat etf,miscellaneous
3ngs,wisdomtree natural gas 3x daily short etf,miscellaneous
levmib,lyxor ftsemib dai 2x lev ucits etf dist etf,miscellaneous
icfp,invesco msci eur esg catholic ucits etf etf,miscellaneous
itamid,lxr ftse itali pmi pir 2020 dr ucits etf etf,miscellaneous
des2,l&g dax daily 2x short ucits etf etf,miscellaneous
sil3l,sg etc daily long +3x silver future etf,—
ipir,ishares ftse ital midsmall cap ucits etf etf,miscellaneous
eny,energy,technology services
fedf,lyxor fed funds usd cash ucits etf acc etf,miscellaneous
jt13,ubs bbg japan treas 1-3 y ucits etf etf,miscellaneous
erix,sg etn european renewable energy etf,—
eyld,wisdomtree eur ag bo enh ucits etf eur a etf,miscellaneous
floth,lyxor $ floa rat note eu h ucits etf dis etf,miscellaneous
hys,lyxor bofaml eu sh ter hy ucits etf dist etf,miscellaneous
ejp3,wisdomtree long jpy short eur 3x daily etf,miscellaneous
fammwf,fineco msci wrd finan esg lead ucits etf etf,—
hmca,hsbc msci china a ucits etf etf,miscellaneous
xgde,xtrackers ie physical gold eur hed etc etf,miscellaneous
xsle,xtrackers ie physical silver eur hed etc etf,miscellaneous
ech3,wisdomtree long chf short eur 3x daily etf,miscellaneous
mib3l,sg etc ftse mib +3x daily lev collateral etf,miscellaneous
xmin,xtrackers msci indonesia swap ucits etf etf,miscellaneous
kstr,kraneshares sse star market 50 ucits etf etf,—
ege,ubs jpm glb gov esg liq ucits etf eurh a etf,miscellaneous
telew,lyxor msci wld communic tr ucits etf etf,miscellaneous
dxj,wisdomtree jpn equity ucits etf usd hedg etf,miscellaneous
batt,l&g battery value-chain ucits etf etf,miscellaneous
ust5l,sg etn daily long +5x us trea 10y future etf,—
eus3,wisdomtree long usd short eur 3x daily etf,miscellaneous
bre3l,sg etc daily long +3x brent oil future etf,—
jreb,jpm eur crp bd res enh esg ucits etf etf,miscellaneous
