symbol,name2,sector
alli,alpha lithium corporation,non-energy minerals
nicu,magna mining inc,non-energy minerals
bct,briacell therapeutics corp,health technology
onc,oncolytics biotech inc,health technology
ret,reitmans(canada),retail trade
osi,osino resources corp,non-energy minerals
tea,tearlach resources,non-energy minerals
atx,atex resources inc,non-energy minerals
mfg,mayfair gold corp,non-energy minerals
geo,,non-energy minerals
cur,consolidated uranium inc,non-energy minerals
wbr,waterloo brewing ltd,consumer non-durables
novr,nova royalty corp,commercial services
scz,santacruz silver mining ltd,non-energy minerals
cuu,copper fox metals inc,non-energy minerals
mgro,mustgrow biologics corp,process industries
hiti,high tide inc,retail trade
tcf,trillion energy international inc.,energy minerals
bln,blackline safety corp,electronic technology
syz,sylogist ltd,technology services
tlg,troilus gold corp,non-energy minerals
crrx,carerx corporation,health services
tmq,trilogy metals inc new,non-energy minerals
genm,generation mining limited,non-energy minerals
srv.un,sir royalty income fund,miscellaneous
emn,euro manganese inc,non-energy minerals
gtwo,g2 goldfields inc,non-energy minerals
bcm,bear creek mining corporation,non-energy minerals
vox,vox rty corp (ca),non-energy minerals
hme,hemisphere energy corporation,energy minerals
lth,lithium ionic corp,non-energy minerals
sfr,sandfire resources america inc,non-energy minerals
xau,goldmoney inc,finance
cxi,currency exchange intl corp,finance
gsvr,guanajuato silver company ltd,non-energy minerals
lith,lithium chile inc,non-energy minerals
gdl,goodfellow inc,distribution services
gxu,goviex uranium inc,non-energy minerals
mpvd,mountain province diamonds inc,non-energy minerals
dc.a,dundee corporation,finance
at,acuityads hldgs inc,technology services
asm,avino silver & gold mines,non-energy minerals
cnl,collective mining ltd,non-energy minerals
gip,green impact partners inc,technology services
eog,eco atlantic oil & gas ltd,energy minerals
fuu,fission 3.0 corp,non-energy minerals
etl,e3 lithium ltd,process industries
bhsc,bioharvest sciences inc.,process industries
png,kraken robotics inc,electronic technology
eglx,enthusiast gaming holdings inc,technology services
th,theratechnologies inc,health technology
stc,sangoma technologies corporation,electronic technology
trz,transat at inc,consumer services
byn,banyan gold corp,non-energy minerals
bre,bridgemarq real estate services inc,miscellaneous
mene,mene inc,consumer durables
pbit,posabit systems corporation,technology services
slvr,silver tiger metals inc,non-energy minerals
brag,bragg gaming group inc,technology services
amy,recyclico battery materials inc,non-energy minerals
cvw,cvw cleantech inc,non-energy minerals
ckg,chesapeake gold corp,non-energy minerals
mmax,metamaterial exchangeco inc,electronic technology
mko,mako mining corp,non-energy minerals
mau,montage gold corp,non-energy minerals
fury,fury gold mines ltd,non-energy minerals
ngen,nervgen pharma corp,health technology
gph,graphite one inc,non-energy minerals
g,augusta gold corp,non-energy minerals
dng,dynacor group inc,non-energy minerals
cwc,cwc energy services corp,industrial services
vln,velan inc,producer manufacturing
root,roots corporation,consumer non-durables
drr.u,dream residential real est invt tr,finance
ayr.a,"ayr wellness inc. s.v., rvs, l.v.",health technology
vhi,vitalhub corp,technology services
cweb,charlottes web holdings inc,process industries
gdc,genesis land development corp,consumer durables
xybn,xybion digital inc,finance
wrg,western energy services corporation,industrial services
glas.a.u,glass house brands inc. subordinate voting equity shares,process industries
rby,rubellite energy inc,energy minerals
forz,forza petroleum limited,energy minerals
egt,eguana technologies inc,electronic technology
ntar,nextech ar solutions corp,technology services
tao,tag oil ltd,energy minerals
wml,wealth minerals,non-energy minerals
sou,southern energy corp,energy minerals
mjs,majestic gold corp,non-energy minerals
pnrl,premium nickel resources ltd,non-energy minerals
opt,optiva inc,technology services
gpv,greenpower mtr co inc,consumer durables
rht,reliq health technologies inc,technology services
drt,dirtt environmental solutions ltd,technology services
nkg,nevada king gold corp,non-energy minerals
pink,perimeter medical imaging ai inc,health technology
brc,blackrock silver corp,non-energy minerals
kits,kits eye care ltd,retail trade
cybn,cybin inc.,health technology
oiii,o3 mining inc,non-energy minerals
nvcn,neovasc inc,health technology
edt,spectral medical inc,health technology
erd,erdene resource development corp,non-energy minerals
kpt,kp tissue inc,consumer non-durables
psd,pulse seismic inc,industrial services
ttnm,titanium transn group inc,transportation
taig,taiga motors corp,retail trade
tsl,tree island steel ltd,producer manufacturing
bnch,benchmark metals inc,non-energy minerals
rok,rok resources inc,energy minerals
elbm,electra battery materials corp,non-energy minerals
gasx,ng energy international corp,energy minerals
pvt,pivotree inc,technology services
wrx,western resources corp,non-energy minerals
ara,aclara resources inc,non-energy minerals
reg,regulus resources inc new,non-energy minerals
pgz,pan global resources inc,non-energy minerals
qfor,q4 inc,technology services
lam,laramide resources,non-energy minerals
guru,guru organic energy corp,consumer non-durables
fsy,forsys metals corporation,non-energy minerals
qec,questerre energy corp,energy minerals
ogn,orogen royalties inc,consumer durables
hai,haivision systems inc,electronic technology
hpq,hpq silicon inc,non-energy minerals
flt,drone delivery canada corp,electronic technology
pmkr,playmaker capital inc,commercial services
giii,regen iii corp,process industries
cph,cipher pharmaceuticals inc,health technology
moly,greenland resources inc.,non-energy minerals
eprx,eupraxia pharmaceuticals inc,commercial services
tpl,tethys petroleum limited,energy minerals
pkk,tenet fintech group inc,technology services
vers,verses technologies inc. subordinate voting shares,technology services
rx,biosyent inc,health technology
fpx,fpx nickel corp,non-energy minerals
gtms,greenbrook tms inc,health services
stgo,steppe gold ltd,non-energy minerals
gmn,gobimin inc,non-energy minerals
adzn,adventus mining corporation,non-energy minerals
hexo,hexo corp,process industries
xtra,xtract one technologies inc,technology services
nvo,novo resources corp,non-energy minerals
eq,eq inc,commercial services
mga,mega uranium ltd,non-energy minerals
mgg,minaurum gold inc,non-energy minerals
cfe,cartier silver corporation,non-energy minerals
nkl,nickel 28 capital corp,non-energy minerals
bigg,bigg digital assets inc,finance
ros,roscan gold corporation,non-energy minerals
love,cannara biotech inc,process industries
bsr,bluestone resources inc,non-energy minerals
atl,atlas global brands inc.,process industries
fwz,fireweed metals corp,non-energy minerals
dbg,doubleview gold corp,non-energy minerals
nbva,nubeva technologies ltd,technology services
dya,dynacert inc,producer manufacturing
leef,leef brands inc.,process industries
fish,sailfish royalty corp,non-energy minerals
jpeg,pioneer media holdings inc.,finance
tlt,theralase technologies inc,health technology
we,wecommerce holdings ltd,technology services
mgm,maple gold mines ltd,non-energy minerals
usgd,american pacific mining corp.,non-energy minerals
aps,aptose biosciences inc,health technology
jev,jericho energy ventures inc,energy minerals
grn,greenlane renewables inc,industrial services
mno,meridian mining uk societas,non-energy minerals
inno,innocan pharma corporation,health technology
itr,integra resources corp,non-energy minerals
ifx,imaflex inc,process industries
rhc,royal helium ltd,process industries
mogo,mogo inc,finance
mir,medmira inc,health technology
az,a2z smart technologies corp,technology services
hwo,high arctic energy services inc,industrial services
gcl,colabor group inc,transportation
au,aurion resources ltd,non-energy minerals
akt.a,akita drilling ltd,industrial services
maw,mawson gold limited,non-energy minerals
eagr,east side games group inc,technology services
crp,ceres global ag corp,transportation
torq,torq resources inc,non-energy minerals
ecm,ecolomondo corporation,industrial services
azm,azimut exploration inc,non-energy minerals
numi,numinus wellness inc,health services
tva.b,tva group inc,consumer services
agmr,silver mountain resources inc,non-energy minerals
brw,brunswick exploration inc,non-energy minerals
