symbol,name2,sector
kav,kavango resources plc ord gbp0.001,non-energy minerals
pen,pennant international group ord gbp0.05,technology services
sixh,600 group ord gbp0.01,producer manufacturing
immo,immotion group plc ord gbp0.00040108663,electronic technology
senx,serinus energy plc ord npv,energy minerals
mbo,mobilityone ltd ord gbp0.025,technology services
lbe,longboat energy plc ord gbp0.10,industrial services
zed,zenova group plc ord gbp0.001,process industries
brsd,brandshield systems plc ord gbp0.01,non-energy minerals
ceg,challenger energy group plc ord gbp0.0002,energy minerals
val,valirx ord gbp0.001,health technology
rua,rua life sciences plc ord gbp0.05,health technology
peb,pebble beach systems group plc ord gbp0.025,technology services
algw,alpha growth plc ord gbp0.001,commercial services
arc,arcontech group plc ord gbp0.125,technology services
sae,simec atlantis energy ltd ord npv (di),utilities
orch,orchard funding group plc ord gbp0.01,finance
acp,armadale capital plc ord gbp0.001,non-energy minerals
fcm,first class metals plc ord gbp0.001,non-energy minerals
ecr,ecr minerals ord gbp0.00001,non-energy minerals
octp,oxford cannabinoid tech hldgs plc ord gbp0.01,health technology
dbox,digitalbox plc ord gbp0.01,commercial services
cpp,cppgroup plc ord gbp1,finance
ntq,enteq technologies plc ord gbp0.01,commercial services
roq,roquefort therapeutics plc ord gbp0.01,finance
dgi,dg innovate plc ord gbp0.001,miscellaneous
car,carclo ord gbp0.05,producer manufacturing
gra,grafenia plc ord gbp0.01,commercial services
iron,ironveld plc ord gbp0.001,non-energy minerals
eisb,east imperial plc ord gbp0.01,finance
bres,blencowe resources plc ord gbp0.005,non-energy minerals
alba,alba mineral resources ord gbp0.0001,non-energy minerals
knb,kanabo group plc ord gbp0.025,finance
trak,trakm8 hldgs ord gbp0.01,technology services
gtc,getech group ord gbp0.0025,electronic technology
gcm,gcm resources plc ord gbp0.01,energy minerals
gcat,caracal gold plc ord gbp0.001,finance
bloe,block energy plc ord gbp0.0025,energy minerals
blu,blue star capital ord gbp0.001,finance
uog,united oil & gas plc ord gbp0.01,energy minerals
tgp,tekmar group plc ord gbp0.01,producer manufacturing
cobr,cobra resources plc ord gbp0.01,finance
aeo,,commercial services
tom,tomco energy plc ord npv,energy minerals
frg,firering strategic minerals plc ord eur0.001 (di),non-energy minerals
eee,empire metals ltd npv (di),non-energy minerals
xsg,xeros technology group plc ord gbp0.001,producer manufacturing
odx,omega diagnostics group plc ord gbp0.04,health technology
gst,gstechnologies ltd ord npv (di),industrial services
gild,guild esports plc ord gbp0.001,consumer services
min,minoan group ord gbp0.01,consumer services
7dig,7digital group plc ord gbp0.0001,technology services
aeg,active energy group ord gbp0.0035,process industries
bar,brand architekts group plc ord gbp0.05,consumer non-durables
loop,loopup group plc ord gbp0.005,technology services
thr,thor energy plc ord gbp0.0001,non-energy minerals
cdl,cloudbreak discovery plc ord gbp0.001,finance
myx,mycelx technologies corp com shs usd0.025 (di),producer manufacturing
dvrg,deepverge plc ord gbp0.001,health technology
lvcg,live company group plc ord gbp0.01,commercial services
tst,touchstar plc ord gbp0.05,technology services
wsg,westminster group plc ord gbp0.001,transportation
sure,sure ventures plc ord gbp0.01,finance
pty,parity group ord gbp0.02,commercial services
nnn,nanosynth group plc ord gbp0.0001,electronic technology
aym,anglesey mining ord gbp0.01,non-energy minerals
est,east star resources plc ord gbp0.01,commercial services
sml,strategic minerals plc ord gbp0.001,non-energy minerals
twd,trackwise designs ltd ord gbp0.001,electronic technology
trp,tower resources ord gbp0.00001,energy minerals
orcp,oracle power plc ord gbp0.001,energy minerals
genf,genflow biosciences plc ord gbp0.0003,health technology
cgnr,conroy gold & natural resources ord eur0.001 (cdi),non-energy minerals
gfin,gfinity plc ord gbp0.001,technology services
its,in the style group plc ord gbp0.0025,retail trade
ciz,cizzle biotechnology holdings plc ord gbp0.0001,finance
ast,ascent resources ord gbp0.005,energy minerals
upl,upland resources ltd ord npv,energy minerals
tast,tasty ord gbp0.001,consumer services
enet,ethernity networks ltd ord ils0.001 (di),electronic technology
rgo,riverfort global opportunities plc ord gbp0.0001,distribution services
brh,braveheart investment group ord gbp0.02,finance
coro,coro energy plc ord gbp0.001,energy minerals
iqai,iq-ai ltd ord gbp0.01,technology services
abdx,abingdon health plc ord gbp0.00025,health technology
pat,panthera resources plc ord gbp0.01,non-energy minerals
echo,echo energy plc ord gbp0.0025,energy minerals
rene,reneuron group ord gbp0.01,health technology
iig,intuitive investments group plc ord gbp0.01,finance
piri,pires investments plc ord gbp0.0025,finance
mos,mobile streams ord gbp0.0001,retail trade
chll,chill brands group plc ord gbp0.01,health technology
cmet,capital metals plc ord gbp0.002,process industries
bump,seraphine group plc ord gbp0.01,consumer non-durables
argo,argo group ltd ord usd0.01,finance
0a4i,arcimoto inc com npv (post rev split),consumer durables
n4p,n4 pharma plc ord gbp0.004,health technology
orr,oriole resources plc ord gbp0.001,non-energy minerals
fins,financials acquisition corp ord gbp0.0001 (di),finance
nccl,ncondezi energy ltd ord npv (di),energy minerals
logp,lansdowne oil & gas ord gbp0.001,energy minerals
osi,,technology services
orm,ormonde mining ord eur0.01 (cdi),non-energy minerals
mast,mast energy developments plc ord gbp0.001,utilities
vast,vast resources plc ord gbp0.001,non-energy minerals
kibo,kibo energy plc ord eur0.001 (cdi),energy minerals
vdtk,verditek plc ord gbp0.0004,electronic technology
csfs,cornerstone fs plc ord gbp0.01,retail trade
prim,primorus investments plc ord gbp0.002,non-energy minerals
agm,applied graphene materials plc ord gbp0.02,process industries
mlvn,malvern international plc ord gbp0.01,consumer services
bzt,bezant resources plc ord gbp0.00002,non-energy minerals
fcrm,fulcrum utility services ld ord gbp0.001 (di),industrial services
cmh,chamberlin ord gbp0.001,non-energy minerals
rrr,red rock resources ord gbp0.0001,non-energy minerals
msmn,mosman oil & gas ltd ord npv (di),energy minerals
sres,sunrise resources ord gbp0.001,non-energy minerals
pyc,physiomics ord gbp0.004,commercial services
palm,panther metals plc ord npv,finance
gbp,global petroleum limited npv,energy minerals
nwt,newmark security ord gbp0.05,electronic technology
ubg,unbound group plc ord gbp0.01,finance
aslr,asimilar group plc ord gbp0.0001,process industries
trac,t42 iot tracking solutions plc ord npv,electronic technology
lsai,location sciences group plc ord gbp0.001,technology services
dis,distil plc ord gbp0.001,consumer non-durables
ptro,pelatro plc ord gbp0.025,technology services
drum,drumz plc gbp0.001,finance
rur,rurelec ord gbp0.01,utilities
gwmo,great western mining corp plc ord eur0.0001 (cdi),non-energy minerals
mila,mila resources plc ord gbp0.01,non-energy minerals
vela,vela technologies plc ord gbp0.0001,finance
jlh,john lewis of hungerford ord gbp0.001,consumer durables
obc,online blockchain plc ord gbp0.05,technology services
biom,biome technologies ord gbp0.05,producer manufacturing
mtph,midatech pharma plc ord gbp0.001,health technology
cbx,cellular goods plc ord gbp0.001,health technology
arg,argos resources ltd ord gbp0.02 (di),energy minerals
rock,rockfire resources plc ord gbp0.001,non-energy minerals
euz,europa metals ltd ord npv (di),non-energy minerals
ecsc,ecsc group plc ord gbp0.01,technology services
act,actual experience plc ord gbp0.002,technology services
cmrs,caerus mineral resources plc ord gbp0.01,non-energy minerals
tym,tertiary minerals ord gbp0.0001,non-energy minerals
urah,ura holdings plc ord gbp0.0001,non-energy minerals
pet,,energy minerals
snt,sabien technology group plc ord gbp0.03,producer manufacturing
ige,image scan hldgs ord gbp0.01,electronic technology
pnpl,pineapple power corp plc ord gbp0.01,finance
nfx,nuformix plc ord gbp0.001,health technology
chf,chesterfield resources plc ord gbp0.001,finance
ark,arkle resources plc ord eur0.0025 (cdi),non-energy minerals
imc,imc exploration group plc ord eur0.001 (cdi),non-energy minerals
nbb,norman broadbent plc ord gbp0.01,commercial services
clon,clontarf energy ord gbp0.0001,non-energy minerals
pfp,pathfinder minerals ord gbp0.001,non-energy minerals
scir,scirocco energy plc ord gbp0.002,energy minerals
crcl,corcel plc ord gbp0.0001,non-energy minerals
adme,adm energy plc ord gbp0.01,energy minerals
hama,hamak gold ltd ord npv (di),non-energy minerals
ntog,nostra terra oil and gas company ord gbp0.001,energy minerals
pos,plexus hldgs plc ord gbp0.01,industrial services
krs,keras resources plc ord gbp0.01,non-energy minerals
kdr,karelian diamond resources plc ord eur0.00025 (cdi),non-energy minerals
nsf,non-standard finance plc ord gbp0.05,finance
amoi,anemoi international ltd ord usd0.001 (di),finance
mode,mode global hldgs plc ord gbp0.01,technology services
spmu,spiritus mundi plc ord gbp0.01,finance
brd,bluerock diamonds plc ord gbp0.05,non-energy minerals
mnrg,metalnrg plc ord gbp0.0001,non-energy minerals
inx,i-nexus global plc ord gbp0.10,technology services
kat,katoro gold plc ord gbp0.01,non-energy minerals
traf,trafalgar property group plc ord gbp0.001,finance
fpp,fragrant prosperity hldgs ltd ord npv (di),finance
1sn,first tin plc ord gbp0.001,non-energy minerals
ajax,ajax resources plc ord gbp0.01,finance
ix.,i(x) net zero plc ord npv,finance
cgo,contango holdings plc ord gbp0.01,finance
roof,atrato onsite energy plc ord gbp0.01,finance
lib,libertine holdings plc ord gbp0.001,finance
klso,kelso group holdings plc ord gbp0.01,commercial services
pint,pantheon infrastructure plc ord gbp0.01,finance
groc,greenroc mining plc ord gbp0.001,non-energy minerals
polb,poolbeg pharma plc ord gbp0.0002,health technology
hpa1,hambro perks acquisition co ltd cls a ord npv,finance
snd,sondrel (holdings) plc ord gbp0.001,electronic technology
stk,streaks gaming plc ord gbp0.001,technology services
ctl,cleantech lithium plc ord gbp0.01,non-energy minerals
