symbol,name2,sector
gmla,gamla harel,finance
glbx,glassbox ltd,technology services
asho,ashot,electronic technology
mdpr,medipower 0.1$,finance
ildr,ild renewal,finance
salg,shalag,process industries
elrn,elron,finance
hgge,hagag europe devel,finance
ovrs,overseas,transportation
sofw,sofwave medical,health technology
ayal,ayalon hold.,finance
mshr,mishorim,finance
ntgr,netanel group,consumer durables
tra,tarya isreal ltd,consumer services
znkl,zanlakol,consumer non-durables
gpst,group psagot,finance
skln,skyline,consumer services
mcll,michlol finance,finance
mlrn,m.l.r.n projects,finance
aver,averbuch,distribution services
msla,maslavi,finance
spntc,spuntech,process industries
wesr,wesure global tech,finance
shom,shoham business,finance
tops,top systems,technology services
bons,bonus biogroup,health technology
bimt,bio meat foodtech,commercial services
givo,givot olam oil exp,energy minerals
slgn,solegreen,utilities
unit,unitronics,electronic technology
gagr,gaon group,non-energy minerals
ybox,ybox,finance
rtsn,rotem shani entrep,consumer durables
shan,shaniv,process industries
gncl,gencell ltd,producer manufacturing
brmg,brimag,retail trade
opal,opal balance,communications
aviv,aviv,consumer durables
pcbt,p.c.b tec,electronic technology
iccm,icecure medical,health technology
rmn,ram on,process industries
bran,baran,industrial services
lbtl,libental,finance
gsfi,gan shmuel,consumer non-durables
birm,birman,distribution services
ibiu,ibi managing,finance
taya,taya inv,consumer services
reka,rekah,health technology
golf,golf,consumer non-durables
shnp,schnapp,distribution services
angl,angel salomon,consumer non-durables
goho,golden house,health services
avgd,av-gad holdings,finance
prmg,primotec group ltd,consumer non-durables
aqua,aquarius engines,producer manufacturing
snfl,sunflower,utilities
ludn,ludan,industrial services
alba,albaad,consumer non-durables
toen,tomer energy,miscellaneous
msvt,massivit 3d printi,producer manufacturing
poly,polygon,finance
qltu,qualitau,electronic technology
accl,accel,industrial services
utrn,utron,technology services
cfx,cofix group,consumer services
tgi,tgi infrastructure,producer manufacturing
lsco,lesico,industrial services
rlco,ralco,retail trade
ptch-m,israel petrochemic,energy minerals
bril,brill,consumer non-durables
lbra,libra insurance co,finance
blrx,bioline rx,health technology
leof,levinski ofer,finance
msbi,hamashbir 365,retail trade
nuri,nur ink innovation,process industries
clab,c-lab ltd,electronic technology
knfm,knafaim,transportation
hmgs,homebiogas ltd,consumer durables
qnco,queenco,consumer services
turb,turbogen ltd,commercial services
aman,amanet,commercial services
fgas,fire & gas detecti,electronic technology
ravd,ravad,finance
aran,aran,distribution services
brnd,brand,producer manufacturing
ecpa,ecoppia scientific,producer manufacturing
bway,brainsway,health technology
sprg,spring,technology services
cbi,clal biotech,finance
frsx,foresight,producer manufacturing
jngo,jungo connectivity,technology services
gngr,ginegar,producer manufacturing
tfrlf,tefron,consumer non-durables
stg,stg,distribution services
shgr,shagrir,consumer services
frdn,fridenson,transportation
aluma,aluma infrastructu etf,finance
augn,augwind,producer manufacturing
zooz,zooz power ltd,producer manufacturing
mdin,modiin energy ltd,energy minerals
ortc,o.r.t.,electronic technology
yaac,yaacobi group,industrial services
prim,prime energy p.e.,utilities
scdx,scodix ltd,producer manufacturing
ppbt,purple biotech,health technology
lhis,lachish,producer manufacturing
eldav,eldav,finance
aryt,aryt,electronic technology
inin,inter indstries,industrial services
semg,seach medical,health technology
nxtm,nextcom,industrial services
bnrg,brenmiller,industrial services
guid,guideline group,technology services
lphl,lapidoth-heletz,energy minerals
gkl,global knafaim,finance
nisa,nissan,process industries
dna,d.n.a biomed,health technology
brkt,bareket capital lt,finance
pmvm,pomvom ltd,technology services
mgda,migdalor alternati,finance
ppil,plastopil hazorea,process industries
mtlf,matricelf ltd,health technology
rtpt,ratio petroleum,energy minerals
tede,tedea,producer manufacturing
snel,synel,technology services
mia,mia dynamics motor,finance
robo,robogroup,technology services
qlrd,quicklizard ltd,technology services
cptp,capital point,finance
tkun,tikun olam - cannb,process industries
scc,space com,consumer services
crmt,carmit,consumer non-durables
wilk,wilk technologies,commercial services
blnd,blender finance te,technology services
tmis,themis g.r.e.n. lt,consumer durables
cnmd,cannomed,process industries
elspc,elspec,producer manufacturing
imco,imco,electronic technology
bltz,blitz technologies,finance
amx,automax motors ltd,technology services
hicn,highcon systems,process industries
nrgn,nrgene techs ltd,health technology
tuza,teuza,finance
trp,tierra properties,consumer non-durables
